0,0
0.00060539,43.821
0.0012107,74.356
0.0018161,104.93
0.0024213,137.51
0.0030268,169.57
0.0036322,195.86
0.0042377,210.31
0.004843,218.42
0.0054486,224.14
0.0060539,228.85
0.006659,232.94
0.0072644,236.67
0.0078697,239.95
0.0085996,243.62
0.010983,254.33
0.013367,263.82
0.01575,272.71
0.018133,281
0.020517,288.87
0.0229,296.2
0.025283,303.3
0.027667,309.97
0.03005,316.34
0.032434,322.31
0.034817,328.01
0.0372,333.35
0.039584,338.45
0.041967,343.19
0.044351,347.75
0.046734,351.99
0.049118,356.04
0.051477,359.74
0.05386,363.34
0.056244,366.59
0.058627,369.73
0.061011,372.72
0.063394,375.52
0.065778,378.06
0.068161,380.54
0.070544,382.84
0.072928,385.13
0.075311,387.19
0.077695,389.2
0.080078,391
0.082461,392.88
0.084845,394.48
0.087228,396.13
0.089612,397.74
0.091995,399.16
0.094378,400.52
0.096762,401.84
0.099145,402.99
0.10153,404.3
0.10391,405.48
0.1063,406.47
0.10868,407.4
0.11106,408.39
0.11345,409.2
0.11583,410.03
0.11821,410.71
0.1206,411.36
0.12298,411.9
0.12536,412.47
0.12775,412.82
0.13013,413.18
0.13251,413.43
0.1349,413.5
0.13728,413.2
0.13966,412.49
0.14205,410.41
0.14443,403.47
0.14681,379.18
