index,course number,course name
746,HST101,West Civ: Ancnt to Mdvl 
747,HST102,West Civ: Medieval to Modern 
748,HST102H,West Civ: Med to Modern Honors 
764,HST102H,West Civ: Med to Modern Honors 
749,HST103,Western Civ: Modern Europe 
750,HST104,History of the Middle East 
751,HST106,History of China 
752,HST107,History of Korea and Japan 
753,HST201,History of the US to 1840 
754,HST202,History of the US 1840-1914 
755,HST203,History of US 1914 to Present 
756,HST204,US Women: Pre-colonial to 1877 
757,HST205,US Women: 1877 to Present 
758,HST218,American Indian History 
759,HST250,African American Hist to 1877 
760,HST271,Hist Central America/Caribbean 
761,HST277,History of the Oregon Trail 
762,HST285,The Holocaust 
767,HUM100,Intro to Humanities 
768,HUM202,Hum & Tech:Contemporary Issues 
769,HUM214,Race and Racism 
770,HUM221,Leadership Development 
301,HUS101,Introduction to Human Services 
302,HUS102,Mental Health First Aid: Adult 
772,ID120,Interior Products/Materials I 
773,ID121,Sustainable Mtls Res Int 
774,ID123,Hist of Furniture-1800/Present 
775,ID125,Computer Drafting for Int Dsg. 
776,ID131,Introduction to Interiors 
777,ID133,Space Planning and Design 
778,ID135,Pro Practice for Designers 
779,ID224,Furniture Studio I 
780,ID238,Advanced Kiten/Bath Planning 
781,ID280A,CE: Kitchen and Bath 
64,INSP152,Int. Res. Code Mechanical 
234,INSP152,Int. Res. Code Mechanical 
65,INSP201,Plans Examination-Commercial 
229,INSP201,Plans Examination-Commercial 
66,INSP252,International Building Code II 
230,INSP252,International Building Code II 
67,INSP256,Int. Mechanical Code II 
231,INSP256,Int. Mechanical Code II 
232,INSP280,CE:Field Experience 
233,INSP280B,CE: Field Experience 
782,INTL201,Intro to International Studies 
1220,IRW115,Intro Reading & Composition 
1363,IRW115,Intro Reading & Composition 
1221,IRW90,Found Reading & Composition 
1364,IRW90,Found Reading & Composition 
788,J102,Intro Information Gathering 
789,J103,Introduction to Media Writing 
790,J201,Mass Communication and Society 
791,J204,Visual Communication for Media 
783,JPN101,First Year Japanese 
784,JPN102,First Year Japanese 
785,JPN112C,First Yr Japanese Conversation 
786,JPN202,Second Year Japanese 
796,LAT104,Pesticides 
797,LAT109,Plant Propagation 
798,LAT243,Landscape Business Operations 
799,LAT264,Landscape Estimating & Bidding 
800,LAT271,Computer Aided Landscape Desig 
801,LAT272,Sustainable Landscaping 
802,LAT280A,CE: Landscape 
803,LAT280C,CE: Landscape Design 
805,LIB101,Library Research and Beyond 
806,LIB127,Advanced Library Research 
914,MA122,Med Office Assistant Sem II 
915,MA123,Med Office Clinical Procedures 
916,MA124,Med Office Clinical Proc (Lab) 
917,MA130,Clinical Phlebotomy II 
809,MCH100,Machine Tool Basics 
836,MCH101,Occupational Health & Safety 
837,MCH102,Introduction to Manufacturing 
810,MCH105,Blueprint Reading I 
811,MCH110,Blueprint Reading II 
812,MCH115,Geometric Dimension/Tolerance 
813,MCH120,Machine Shop Math 
814,MCH121,Manufacturing Processes I 
838,MCH123,Sheet Metal Fabrication 
815,MCH125,Speeds and Feeds 
816,MCH130,Machine Shop Trigonometry 
817,MCH135,Basic Measuring Tools 
818,MCH145,Layout Tools 
819,MCH150,Precision Measuring Tools 
820,MCH160,Drilling Machines & Operations 
821,MCH175,Band Saws 
822,MCH180,Turning Machines & Operations 
823,MCH190,Boring on the Lathe 
824,MCH195,Threading on the Lathe 
825,MCH205,Vertical Mill Mach & Operation 
839,MCH215,Horizontal Milling Machines 
840,MCH222,CMM Operation 
826,MCH225,Surface Grind Mach & Operation 
841,MCH227,CNC Grinder Operation 
842,MCH228,Abrasives 
843,MCH229,Rapid Prototyping 
844,MCH240,Cutting Tool Technology 
845,MCH245,Metallurgy 
827,MCH259,CNC Programming-Lathe 
828,MCH268,CNC Programming-Mill 
829,MCH272,Mastercam Level I 
830,MCH273,Mastercam Level II 
846,MCH276,Mastercam Solids 
847,MCH277,Mastercam CNC/CAM Project 
831,MCH278,CNC Operation - Mill 
832,MCH279,CNC Operation - Lathe 
853,MCH280,CE: Machine Technology 
848,MCH282,CNC Router Operation 
833,MCH286A,TSA Manual Machining 
834,MCH287A,TSA CNC Turning 
835,MCH288A,TSA CNC Milling 
849,MCH290,Mastercam Fundamentals Orient. 
850,MCH291,Laser Cutting and Eng. Fund. 
851,MCH292,FDM Additive Manuf. Fund. 
852,MCH293,CNC Router Fund. Orient. 
920,MLT110,Medical Lab Technology Intro 
921,MLT224,Clinical Chemistry I 
922,MLT241,Immunohematology I 
923,MLT251,Hematology I 
924,MLT261,Clinical Bacteriology I 
925,MLT273,Clinical Laboratory Prac III 
926,MLT282,Clinical Seminar I 
941,MM110,Introduction to Multimedia 
942,MM120,Multimedia Design 
943,MM130,MM Graphic Video & Audio Prod 
944,MM140,Multimedia Authoring I 
945,MM150,"MM Proj Review,Test & Delivery "
946,MM160,Market Yourself as MM Profess 
947,MM230,Graphics for Multimedia 
948,MM231,2D Animation I 
949,MM232,MM 3D Modeling & Animation 
950,MM235,Digital Video Edit/Production 
951,MM237,Video Compositing and Effects 
952,MM239,Digital Video Edit/PostProd II 
953,MM247,Field Sound for Video 
954,MM250,Adv MM Project Development I 
955,MM253,Int Modeling and Texturing 
956,MM259,Screenwriting/Preproduction 
957,MM260,Video Production I 
958,MM261,Video Production II 
959,MM263,Cinematography/Lighting 
960,MM267,Special FX I- Green Screen 
961,MM280,CE:  Work Experienc/Multimedia 
927,MP108,Healthcare Career Essentials 
928,MP111,Medical Terminology 
929,MP135,Pharmacology - Allied Health 
930,MP140,Intro to Health Law and Ethics 
931,MP150,Intro to Elec Health Records 
854,MSD101,Prin of Management/Supervision 
859,MSD105,Workplace Communication Skills 
860,MSD107,Organizations & People 
861,MSD110,Gender Conflict Resolution 
862,MSD113,Influence Without Authority 
855,MSD115,Improving Work Relations 
863,MSD116,Creative Think/Innovati Change 
856,MSD117,Customer Relations 
857,MSD121,Leadership Skill Development 
864,MSD122,Motivation w/o Manipulation 
858,MSD130,Creative Problem Solving 
865,MSD142B,Thriving in Transition 
866,MSD150,Listening Skills 
867,MSD151,Working with Difficult People 
868,MSD157,Conflict Management 
869,MSD159,Stress Control 
870,MSD160A,Communication Styles 
871,MSD162,Angry Feel & Angry People 
872,MSD174,Time Management 
873,MSD177,Team Building 
874,MSD180A,Goal Setting and Productivity 
875,MSD192A,Project Management 
876,MSD199G,Global Logistics 
877,MSD199S,Supply Chain Management 
878,MSD200,Organizations & Social Resp 
879,MSD279,Project Management - Intro 
880,MSD280A,CE: Mgt/Supervisory Dev 
881,MSD280B,CE: Mgt/Super Dev - Sem 
932,MT101,Intro to Semiconductor Manuf 
933,MT102,Intro to Semiconductor Dev 
934,MT103,Intro to Micro and Nano Proc 
935,MT108,Statistics for Process Control 
936,MT111,Elec Circuits & Devices I 
937,MT112,Elec Circuits & Devices II 
938,MT121,Digital Systems I 
939,MT227,Process Equipment II 
940,MT240,RF Plasma Systems 
899,MTH105,Math in Society 
900,MTH111,College Algebra 
901,MTH112,Elementary Functions 
892,MTH20,Basic Math 
902,MTH211,Foundations of Elem Math I 
903,MTH212,Foundations of Elem Math II 
904,MTH213,Foundations of Elem Math III 
905,MTH243,Statistics I 
906,MTH244,Statistics II 
907,MTH251,Calculus I 
908,MTH252,Calculus II 
909,MTH253,Calculus III 
910,MTH254,Vector Calculus I 
911,MTH256,Differential Equations 
912,MTH261,Applied Linear Algebra I 
893,MTH58,Math Literacy I 
894,MTH60,Introductory Algebra- 1st Term 
895,MTH65,Introductory Algebra-2nd Term 
896,MTH70,Review of Intro Algebra 
897,MTH95,Intermediate Algebra 
898,MTH98,Math Literacy II 
1012,MUC102,Commercial Music Theory II 
1013,MUC120B,Sight Singing/Ear Training II 
1014,MUC130B,Rhythm Training II 
1015,MUC140B,Group Piano II 
1016,MUC154B,Band Performance Workshop II 
1029,MUC166,Songwriting & Music Publishing 
1030,MUC201,Analog Modular Synthesis 
1017,MUC224,Studio Recording Technology II 
1031,MUC270,Audio Programming I 
1032,MUC271,Audio Programming II 
1033,MUC273,Programming Interactive Video 
962,MUS101,Introduction to Music 
963,MUS105,Music Appreciation 
964,MUS108,Music Cultures of the World 
965,MUS110,Fundamentals of Music 
1018,MUS110,Fundamentals of Music 
966,MUS112,Music Theory I (part two) 
1020,MUS112,Music Theory I (part two) 
967,MUS112C,Sight Singing/Ear Training II 
968,MUS131,Group Vocal 
1021,MUS131,Group Vocal 
969,MUS153A,Musical Theatre Vocal 
970,MUS153B,Musical Theatre Vocal 
971,MUS153C,Musical Theatre Vocal 
1011,MUS157,Jazz Ensemble 
972,MUS158A,Chamber Ensemble 
973,MUS158B,Chamber Ensemble 
974,MUS158C,Chamber Ensemble 
975,MUS158D,Chamber Ensemble 
976,MUS158E,Chamber Ensemble 
977,MUS158F,Chamber Ensemble 
978,MUS170,Music Tech: Beats and Basics 
1019,MUS170,Music Tech: Beats and Basics 
979,MUS171,Music Tech: Record and Mix 
1022,MUS171,Music Tech: Record and Mix 
980,MUS190,Introduction to Piano 
981,MUS191,Class Guitar I 
982,MUS191P,Class Piano I 
983,MUS192,Class Guitar II 
984,MUS192P,Class Piano II 
985,MUS193,Class Guitar III 
986,MUS195A,Symphonic Band 
987,MUS195B,Symphonic Band 
988,MUS195C,Symphonic Band 
989,MUS195D,Symphonic Band 
990,MUS195E,Symphonic Band 
991,MUS195F,Symphonic Band 
992,MUS202,Intro to Music & Its Lit 
993,MUS205,Introduction to Jazz History 
1034,MUS205,Introduction to Jazz History 
994,MUS206,Intro to History of Rock Music 
1023,MUS206,Intro to History of Rock Music 
995,MUS207,Intro to History of Folk Music 
1035,MUS207,Intro to History of Folk Music 
996,MUS212A,Music Theory II (part two) 
997,MUS212B,Music Theo II: Keybrd Harmny 2 
998,MUS220A,Chorus 
1024,MUS220A,Chorus 
999,MUS220B,Chorus 
1025,MUS220B,Chorus 
1000,MUS220C,Chorus 
1026,MUS220C,Chorus 
1001,MUS220D,Chorus 
1027,MUS220D,Chorus 
1002,MUS220E,Chorus 
1028,MUS220E,Chorus 
1003,MUS220F,Chorus 
1004,MUS221A,Chamber Chorus 
1005,MUS221B,Chamber Chorus 
1006,MUS221C,Chamber Chorus 
1007,MUS221D,Chamber Chorus 
1008,MUS221E,Chamber Chorus 
1009,MUS221F,Chamber Chorus 
1010,MUS236,Intro to Latin American Music 
1038,OMT102,Ocular Disease 
1039,OMT104,Ophthalmic Office Procedures 
1040,OMT146,Clinical Optics 2 
1041,OMT207,Diagnostic Procedures II 
1042,OMT222,Ophthalmic Practicum Second Yr 
1043,OMT232,Seminar II 
1044,OMT250,Ophthalmic Imaging 
357,OS131,10-key on Calculators 
358,OS220,Business Editing Skills 
359,OS240,Filing and Records Management 
360,OS245,Office Systems and Procedures 
361,OS280F,CE: Administrative Assistant 
1082,PE10,Physical Ed Activity Program 
1158,PE120A,Ballet I 
1159,PE120B,Ballet I 
1160,PE120C,Ballet II 
1161,PE120D,Ballet II 
1162,PE120E,Ballet III 
1163,PE120F,Ballet III 
1169,PE121A,Modern Dance I 
1170,PE121B,Modern Dance I 
1171,PE121C,Modern Dance II 
1172,PE121D,Modern Dance II 
1173,PE124,World Dance 
1083,PE130A,Adapted Physical Education I 
1084,PE130B,Adapted Physical Education II 
1085,PE130C,Adapted Physical Education III 
1122,PE140A,Boxing I 
1123,PE140B,Boxing II 
1094,PE142A,Zumba Fitness I 
1095,PE142B,Zumba Fitness II 
1146,PE143A,Aquatic Exercise I 
1147,PE143B,Aquatic Exercise II 
1148,PE143C,Aquatic Exercise III 
1088,PE162G,Cardio Conditioning 
1134,PE162J,Brazilian Jiu Jitsu I 
1135,PE162K,Brazilian Jiu Jitsu II 
1136,PE162L,Brazilian Jiu Jitsu III 
1104,PE162M,Mixed Martial Arts (MMA) 
1089,PE162O,Core Fitness 
1149,PE180A,Beginning Swim 
1150,PE180B,Intermediate Swimming 
1154,PE180K,Masters Swimming 
1151,PE180L,Swim Conditioning I 
1152,PE180M,Swim Conditioning II 
1153,PE180N,Swim Conditioning III 
1099,PE181A,Beg Weight Training 
1100,PE181B,Int Weight Training 
1101,PE181C,Adv Weight Training 
1110,PE181D,Interval Training I 
1111,PE181E,Interval Training II 
1098,PE181M,Boot Camp II 
1092,PE182A,Beg Group Fitness 
1093,PE182B,Int Group Fitness 
1090,PE182C,Walking for Fitness I 
1091,PE182D,Walking for Fitness II 
1096,PE182E,Running for Fitness 
1097,PE182F,Boot Camp I 
1133,PE182G,Tai Chi II 
1086,PE182H,Adult Fitness 
1129,PE182J,Gentle Yoga 
1130,PE182K,Yoga I 
1131,PE182L,Yoga II 
1102,PE182P,Pilates I 
1121,PE182Q,Self-Paced Fitness 
1107,PE182R,Back Care 
1132,PE182S,Tai Chi I 
1103,PE182U,Pilates II 
1105,PE182W,Phy. Act. for Weight Control 
1087,PE182Y,Indoor Cycling 
1139,PE183A,Beginning Hiking 
1140,PE183D,Introduction to Rock Climbing 
1137,PE183E,Beginning Tennis 
1138,PE183F,Intermediate Tennis 
1124,PE183V,Judo I 
1125,PE183W,Judo II 
1126,PE183X,Tae Kwon Do I 
1127,PE183Y,Tae Kwon Do II 
1128,PE183Z,Tae Kwon Do III 
1174,PE184A,Beginning Skiing - Nordic 
1175,PE184B,Intermediate Skiing - Nordic 
1176,PE184C,Adv Skiing - Nordic 
1177,PE184D,Beginning Skiing - Alpine 
1178,PE184E,Intermediate Skiing - Alpine 
1179,PE184F,Advanced Skiing - Alpine 
1180,PE184I,Beginning Snowboard Skiing 
1181,PE184J,Intermediate Snowboard Skiing 
1182,PE184L,Advanced Snowboarding Skiing 
1142,PE184M,Meditation - Mind-Body Fitness 
1106,PE184N,Phys Activity for Wght Ctrl II 
1112,PE185A,Beginning Basketball 
1113,PE185B,Intermediate Basketball 
1114,PE185C,Advanced Basketball 
1115,PE185D,Beginning Volleyball 
1116,PE185E,Intermediate Volleyball 
1117,PE185F,Advanced Volleyball 
1118,PE185G,Beginning Soccer 
1119,PE185H,Advanced Soccer 
1120,PE185L,Intermediate Soccer 
1108,PE185U,U-JAM Dance Fitness I 
1109,PE185V,U-JAM Dance Fitness II 
1164,PE186D,Ballroom Dance 
1167,PE186F,Jazz Dance I 
1168,PE186G,Jazz Dance II 
1165,PE186R,Hip Hop 
1166,PE186S,Hip Hop II 
1157,PE186Z,Conditioning for Dance 
1141,PE250,Intro to Outdoor Leadership 
632,PE281,Pro Act: Weight Training 
633,PE283,Pro Act: Mind-Body Disciplines 
1155,PE291A,Lifeguard Training 
1156,PE293,Scuba Diving 
1081,PE295,Health & Fitness for Life Lab 
1143,PE299B,Boxing III 
1144,PE299E,Self-Defense 
1145,PE299M,Beginning Meditation 
1065,PHL191,Analysis & Eval of Argument 
1066,PHL195,Science & the Unknown 
1067,PHL197,Critical Thinking & Media 
1068,PHL201,Being and Knowing 
1069,PHL201H,Being and Knowing: Honors 
1070,PHL202,Ethics 
1071,PHL204,Philosophy of Religion 
1072,PHL206,Intro to Environmental Ethics 
1073,PHL207,Ethics and Aging 
1074,PHL208,Political Philosophy 
1075,PHL209,Business Ethics 
1076,PHL210,Intro to Asian Philosophy 
1077,PHL211,Existentialism 
1078,PHL212,Intro to Philosophy of Mind 
1079,PHL221,Symbolic Logic 
1183,PHY101,Fundamentals of Physics I 
1184,PHY102,Fundamentals of Physics II 
1185,PHY121,Elementary Astronomy 
1186,PHY122,Elementary Astronomy 
1187,PHY201,General Physics 
1188,PHY202,General Physics 
1189,PHY211,General Physics (Calculus) 
1190,PHY212,General Physics (Calculus) 
1191,PHY213,General Physics (Calculus) 
1045,PL101,Intro to Law - Fundamentals 
1046,PL102,Intro to Law-Substantive Areas 
1047,PL103,Introduction to Law - Ethics 
1048,PL105,Litigation 
1049,PL107,Techniques of Interview 
1050,PL111,Probate Practice 
1051,PL116,Real Property Law I 
1052,PL124,Law Office Management 
1053,PL130,Legal Software 
1054,PL201,Legal Research and Library Use 
1055,PL202,Computer Research in Law 
1056,PL204,Applied Legal Research/Draft 
1057,PL206,Intellectual Property Law 
1058,PL216,Employment Law 
1059,PL219,Contract and Consumer Law 
1060,PL220,Worker's Compensation 
1061,PL222,Corporate Law Practice 
1062,PL226,Criminal Law for Paralegal 
1063,PL240,Environmental Law 
1064,PL280A,CE: Paralegal 
1192,PS201,US Government 
1193,PS202,US Pub. Policy & Dem 
1194,PS203,State and Local Government 
1195,PS205,Global Politics:Conflict/Coop 
1196,PS211,Peace and Conflict 
1197,PS220,U.S. Foreign Policy 
1198,PS225,Polit Ideologies: Idea Systems 
1199,PS242,Modern China & Its Neighbors 
1200,PS280A,CE: Political Science 
1201,PSY101,Psychology and Human Relations 
1202,PSY201A,Intro to Psychology - Part 1 
1203,PSY202A,Intro to Psychology - Part 2 
1204,PSY213,Intro Behav Neuroscience 
1205,PSY214,Introduction to Personality 
1206,PSY215,Human Development 
1207,PSY216,Social Psychology 
1208,PSY222,Family & Intimate Relationship 
1209,PSY231,Human Sexuality 
1210,PSY232,Human Sexuality 
1211,PSY236,Psych of Adult Dev and Aging 
1212,PSY239,Intro to Abnormal Psychology 
1213,PSY240,Personal Awareness and Growth 
1223,R201,Asian Religions 
1224,R210,World Religions 
1225,R212,New Testament Intro 
1218,RD115,College Reading 
1219,RD116,College Vocabulary Development 
1215,RD80,Reading 80 
1216,RD90,Reading 90 
1226,RUS101,First Year Russian 
1227,RUS102,First Year Russian 
1228,RUS202,Second Year Russian 
1232,SJ210,Social Justice: Theory & Pract 
1233,SOC204,Sociology in Everyday Life 
1234,SOC205,Social Change in Societies 
1235,SOC206,Social Problems 
1236,SOC211,Peace and Conflict 
1237,SOC213,Diversity in the United States 
1238,SOC214B,Illumination Project 2 
1239,SOC218,Sociology of Gender 
1240,SOC219,Intro to Soc of Religion 
1242,SOC230,Intro to Gerontology 
1243,SOC231,Sociology of Health & Aging 
1241,SOC232,Death & Dying: Cult & Issues 
1244,SOC280A,CE: Sociology 
1245,SPA101,First Year Spanish-First Term 
1246,SPA102,First Year Spanish-Second Term 
1247,SPA103,First Year Spanish-Third Term 
1248,SPA111C,First Yr Spanish Conversation 
1249,SPA112C,First Yr Spanish Conversation 
1250,SPA113C,First Yr Spanish Conversation 
1251,SPA150,First Year Spanish 
1252,SPA202,Second Year Spanish-2nd Term 
1253,SPA212C,Inter Spanish Conversation 
1254,SPA218,SPA for Heritage Speakers 2nd 
1255,SPA250,Second Year Spanish 
1259,TA101,Theatre Appreciation 
1260,TA112,Introduction to Set Design 
1261,TA141,Fund of Acting Techniques 
1262,TA142,Fund of Acting Techniques 
1263,TA144,Improvisational Theatre 
1264,TA145,Acting for the Camera 
1265,TA190A,Projects in Theatre 
1266,TA190B,Projects in Theatre 
1267,TA190C,Projects in Theatre 
1268,TA199G,Production Support 
1269,TA250A,Technical Theatre Production 
1270,TA250B,Technical Theatre Production 
1271,TA250C,Technical Theatre Production 
1272,TA290A,Projects in Theatre 
1273,TA290B,Projects in Theatre 
1274,TA290C,Projects in Theatre 
1275,VT102,Animal Nursing & Restraint 
1276,VT106,Comp Vet Anatomy & Phys II 
1277,VT107,Vet Parasitology & Pathology 
1278,VT108,Pharmaceutical Mathematics 
1279,VT109,Radiation Safety 
1280,VT202,Surgical Nursing 
1281,VT207,Public Health & Sanitation 
1282,VT280B,CE: Clinic II 
1285,WLD101,Welding Process & Application 
1286,WLD102,Blueprint Reading 
1287,WLD111,SMAW:(E7024) & Oxy-acetylene 
1288,WLD112,SMAW: Mild Steel I (E7018) 
1289,WLD113,SMAW: Mild Steel II (E7018) 
1290,WLD114,SMAW: Mild Steel III (E6011) 
1291,WLD115,SMAW: Mild Steel IV (E6011) 
1292,WLD116A,Beg Shielded Metal Arc Welding 
1293,WLD116B,Basic Welding Practice 
1294,WLD126A,Beg Gas Tung Arc Weld Heliarc 
1295,WLD126B,Basic Gas Tung Arc Weld 
1296,WLD131,Gas Metal Arc Welding 
1297,WLD132,Gas Metal Arc Welding-Pulse 
1298,WLD136A,Beginning Wire Welding 
1299,WLD136B,Basic Wire Welding 
1300,WLD141,FCAW I (Gas Shielded) 
1301,WLD142,FCAW II (Self Shielding) 
1302,WLD146A,Beg Pipe Welding Practice 
1303,WLD146B,Basic Pipe Welding Practice 
1304,WLD151,SMAW Cer Prac:Unlim Thk Mld St 
1305,WLD152,FCAW-G Cert. Practice 
1306,WLD153,FCAW-S Cert. Practice 
1307,WLD156A,Beg Oxy-Acetylene Weld Prac 
1308,WLD156B,Basic Oxy-Acetylene Weld Prac 
1309,WLD166A,Beg Weld Pract Metal Sculpting 
1310,WLD166B,Basic Weld Prac Metal Sculpt 
1311,WLD176A,Beg Fabrication Welding Pract 
1312,WLD176B,Basic Fab Weld Practice 
1313,WLD186A,Beg Certification Welding Prac 
1314,WLD186B,Basic Cert Welding Practice 
1315,WLD190A,Beginning Welding Practice 
1316,WLD190B,Basic Welding Practice 
1317,WLD190C,Intermediate Welding Practice 
1318,WLD211,ACR Welding Aluminum 
1319,WLD216,Misc Electrodes & Adv Position 
1320,WLD216A,Intermediate Welding Practice 
1321,WLD216B,Adv Metal Arc Welding 
1322,WLD217,Diesel Welding 
1323,WLD221,GTAW: Mild Steel 
1324,WLD222,GTAW: Aluminum 
1325,WLD223,GTAW: Stainless Steel 
1326,WLD224,GTAW: (Mild Steel) Pipe I 
1327,WLD225,GTAW: (Mild Steel) Pipe II 
1328,WLD226A,Int Gas Tung Arc Welding 
1329,WLD226B,Adv Gas Tung Arc Weld 
1330,WLD236A,Intermediate Wire Welding 
1331,WLD236B,Advanced Wire Welding 
1332,WLD246A,Intermediate Pipe Welding Prac 
1333,WLD246B,Advanced Pipe Welding Practice 
1334,WLD253,"SMAW Cert Prac 3/8"" MS (E6011) "
1335,WLD254,"SMAW Cert Prac 3/8"" MS (E7018) "
1336,WLD256,Prep for Pipe Certification I 
1337,WLD256A,Int Oxy-Acetylene Welding Prac 
1338,WLD256B,Adv Oxy-Acetylene Welding 
1339,WLD257,Prep for Pipe Certification II 
1340,WLD260,Beginning Fabrication 
1341,WLD261,Basic Fabrication 
1342,WLD262,Intermediate Fabrication 
1343,WLD263,Welding Technology-Capstone 
1344,WLD266A,Int Weld Prac Metal Sculpt 
1345,WLD266B,Adv Weld Prac Metal Sculpt 
1346,WLD271,Oxy-acetylene Welding Projects 
1347,WLD276A,Int Fabrication Weld Prac 
1348,WLD276B,Adv Fab Welding Practice 
1349,WLD280A,CE: Welding 
1350,WLD280B,CE: Welding - Seminar 
1351,WLD286A,Int Cert Welding Practice 
1352,WLD286B,Adv Cert Welding Practice 
1353,WLD290,Submerged Arc Welding 
1361,WR105,Writing for Scholarships 
1365,WR115,Intro to Expository Writing 
1366,WR121,English Composition 
765,WR121H,English Composition: Honors 
1367,WR121H,English Composition: Honors 
1368,WR122,English Composition 
766,WR122H,English Composition: Honors 
1369,WR122H,English Composition: Honors 
1370,WR180,Composition Conf & Tutoring 
1371,WR222,Writing Research Papers 
1372,WR227,Technical/Profession WR 1 
1373,WR240,Creative Writing (Nonfiction) 
1374,WR241,Creative Writing (Fiction) 
1375,WR242,Creative Writing (Poetry) 
1376,WR243,Creative Wr (Script Wr) 
1377,WR244,Adv Creative Writing - Fiction 
1378,WR245,Adv Creative Writing - Poetry 
1379,WR246,"Adv Creative Wr, Edit & Pub "
1380,WR247,Adv Creative Scriptwriting 
1381,WR248,Adv Creative Writing-Nonfict 
1382,WR249,"Adv Creative Wr, Edit & Pub II "
1358,WR80,Writing 80 
1359,WR90,Writing 90 
1360,WR93,Basic Grammar 
1354,WS101,Women's Studies 
1355,WS201,Intercultural Women's Studies 
1356,WS210,Introduction to Queer Studies 
