-40,8.17E-10
-39,1.19E-09
-38,1.07E-09
-37,1.35E-09
-36,1.41E-09
-35,1.44E-09
-34,7.10E-10
-33,1.19E-09
-32,1.10E-09
-31,5.32E-10
-30,4.80E-10
-29,7.75E-10
-28,1.40E-09
-27,5.71E-10
-26,7.66E-10
-25,4.45E-10
-24,8.83E-10
-23,4.26E-10
-22,5.76E-10
-21,7.20E-10
-20,8.99E-10
-19,9.45E-10
-18,5.12E-10
-17,2.79E-10
-16,2.71E-10
-15,3.01E-10
-14,6.44E-10
-13,2.74E-10
-12,5.69E-10
-11,2.48E-10
-10,6.11E-10
-9,2.63E-10
-8,2.03E-10
-7,2.10E-10
-6,3.33E-10
-5,2.61E-10
-4,2.11E-10
-3,3.92E-10
-2,2.68E-10
-1,2.44E-10
0,3.88E-10
1,2.76E-10
2,2.26E-10
3,1.33E-10
4,1.09E-10
5,2.47E-10
6,7.94E-10
7,3.04E-09
8,7.93E-09
9,1.33E-08
10,2.84E-08
11,5.04E-08
12,8.06E-08
13,1.07E-07
14,1.59E-07
15,2.20E-07
16,2.91E-07
17,3.78E-07
18,4.76E-07
19,5.88E-07
20,7.12E-07
21,8.52E-07
22,9.88E-07
23,1.11E-06
24,1.30E-06
25,1.51E-06
26,1.73E-06
27,1.97E-06
28,2.23E-06
29,2.50E-06
30,2.79E-06
31,3.10E-06
32,3.43E-06
33,3.79E-06
34,4.15E-06
35,4.54E-06
36,4.94E-06
37,5.37E-06
38,5.81E-06
39,6.29E-06
40,6.78E-06
41,7.29E-06
42,8.07E-06
43,8.48E-06
44,9.02E-06
45,9.59E-06
46,1.02E-05
47,1.07E-05
48,1.13E-05
49,1.20E-05
50,1.27E-05
51,1.34E-05
52,1.42E-05
53,1.49E-05
54,1.57E-05
55,1.65E-05
56,1.74E-05
57,1.82E-05
58,1.91E-05
59,2.00E-05
60,2.09E-05
61,2.18E-05
62,2.28E-05
63,2.38E-05
64,2.48E-05
65,2.59E-05
66,2.69E-05
67,2.80E-05
68,2.92E-05
69,3.03E-05
70,3.15E-05
71,3.27E-05
72,3.39E-05
73,3.52E-05
74,3.65E-05
75,3.79E-05
76,3.92E-05
77,4.07E-05
78,4.21E-05
79,4.36E-05
80,4.52E-05
81,4.68E-05
82,4.85E-05
83,5.02E-05
84,5.20E-05
85,5.38E-05
86,5.58E-05
87,5.78E-05
88,5.99E-05
89,6.21E-05
90,6.44E-05
91,6.68E-05
92,6.92E-05
93,7.18E-05
94,7.45E-05
95,7.73E-05
96,8.02E-05
97,8.33E-05
98,8.65E-05
99,8.98E-05
100,9.32E-05
